,channels,difficulty,duration,id,offer_type,reward
0,"['email', 'mobile', 'social']",10,7,ae264e3637204a6fb9bb56bc8210ddfd,bogo,10
1,"['web', 'email', 'mobile', 'social']",10,5,4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,10
2,"['web', 'email', 'mobile']",0,4,3f207df678b143eea3cee63160fa8bed,informational,0
3,"['web', 'email', 'mobile']",5,7,9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,5
4,"['web', 'email']",20,10,0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,5
5,"['web', 'email', 'mobile', 'social']",7,7,2298d6c36e964ae4a3e7e9706d1fb8c2,discount,3
6,"['web', 'email', 'mobile', 'social']",10,10,fafdcd668e3743c1bb461111dcafc2a4,discount,2
7,"['email', 'mobile', 'social']",0,3,5a8bc65990b245e5a138643cd4eb9837,informational,0
8,"['web', 'email', 'mobile', 'social']",5,5,f19421c1d4aa40978ebb69ca19b0e20d,bogo,5
9,"['web', 'email', 'mobile']",10,7,2906b810c7d4411798c6938adc9daaa5,discount,2
